UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
5567,M15566,M,302.2,311.3,1506,64.8,51,0
5568,M15567,M,301.4,312.8,1605,29.5,12,0
5569,M15568,L,300.5,308.8,1557,27.2,203,0
5570,M15569,H,298.0,306.8,1250,41.0,107,0
5571,M15570,L,300.0,307.7,1261,19.4,36,0
5572,M15571,L,298.9,310.7,1548,46.4,22,1
5573,M15572,H,299.3,309.6,1463,41.1,162,0
5574,M15573,L,299.3,309.9,1878,43.6,147,0
5575,M15574,M,298.0,308.3,1497,37.0,216,0
5576,M15575,L,296.1,306.7,1888,42.5,8,0
5577,M15576,L,298.7,308.7,1454,44.7,220,0
5578,M15577,M,300.4,310.7,1881,42.0,224,0
5579,M15578,L,297.3,307.4,1630,26.7,113,0
5580,M15579,M,300.0,309.4,1640,41.7,19,0
5581,M15580,H,303.8,313.8,1447,58.4,240,0
5582,M15581,H,302.0,312.3,1642,42.4,18,0
5583,M15582,H,303.3,313.4,1842,41.4,149,0
5584,M15583,L,300.8,309.3,1513,55.4,125,0
5585,M15584,M,302.3,311.0,1478,32.6,211,0
5586,M15585,M,298.6,309.6,1495,48.8,127,0
5587,M15586,H,298.7,308.4,1829,34.8,119,0
5588,M15587,L,294.5,305.1,1692,50.8,223,0
5589,M15588,M,302.4,311.3,1798,47.9,244,0
5590,M15589,L,303.1,311.6,1595,35.9,139,0
5591,M15590,L,298.9,308.1,1546,37.4,115,0
5592,M15591,L,299.5,309.3,1615,49.7,210,0
5593,M15592,M,298.5,307.8,1731,21.6,210,0
5594,M15593,L,300.8,312.1,1495,35.6,81,0
5595,M15594,L,302.2,312.4,1784,46.1,146,0
5596,M15595,L,296.5,308.4,1604,36.9,39,0
5597,M15596,L,300.8,311.2,1108,41.3,161,0
5598,M15597,L,299.4,307.0,1697,19.8,211,0
5599,M15598,H,300.2,311.3,1311,31.5,47,0
5600,M15599,M,300.9,309.4,1693,46.7,82,0
5601,M15600,L,299.6,309.9,1700,32.6,114,0
5602,M15601,L,299.8,309.0,1598,27.1,214,0
5603,M15602,H,299.6,311.7,1636,50.5,185,0
5604,M15603,H,301.9,313.4,1736,45.1,80,0
5605,M15604,M,300.8,310.1,1450,29.2,61,0
5606,M15605,L,300.4,310.3,1681,41.4,176,0
5607,M15606,M,297.5,307.7,1747,29.5,121,0
5608,M15607,M,299.2,310.1,1854,38.5,150,0
5609,M15608,M,301.8,311.8,1341,41.7,164,0
5610,M15609,M,300.1,309.1,1612,32.0,141,0
5611,M15610,L,301.3,310.6,1367,47.3,155,0
5612,M15611,H,303.5,313.5,1359,48.9,225,0
5613,M15612,H,302.1,313.3,1603,42.6,220,0
5614,M15613,L,300.2,310.6,1553,44.1,38,0
5615,M15614,H,299.0,308.2,1744,25.6,148,1
5616,M15615,M,294.9,305.5,1477,53.5,111,0
5617,M15616,H,299.7,309.3,1515,39.1,72,0
5618,M15617,H,299.3,310.2,1577,30.7,160,0
5619,M15618,L,300.8,313.3,1385,41.4,129,0
5620,M15619,L,299.7,309.3,1410,47.4,196,0
5621,M15620,L,299.4,310.2,1739,45.1,24,0
5622,M15621,L,296.4,305.7,1441,29.3,77,0
5623,M15622,L,298.1,308.0,1751,47.5,7,0
5624,M15623,L,301.0,311.0,1648,39.4,189,0
5625,M15624,L,303.4,313.2,1262,45.0,231,0
5626,M15625,L,299.8,312.3,1634,32.1,149,0
5627,M15626,L,300.7,310.3,1633,50.4,156,1
5628,M15627,L,301.9,312.5,1615,41.8,12,0
5629,M15628,L,298.4,306.4,1514,51.8,127,0
5630,M15629,H,300.7,311.2,1371,24.8,133,0
5631,M15630,H,298.5,309.7,1780,26.1,10,0
5632,M15631,L,301.7,311.2,1521,37.6,198,0
5633,M15632,M,300.3,307.8,1381,54.5,70,0
5634,M15633,H,300.6,310.6,1621,59.4,183,0
5635,M15634,M,298.4,308.5,1406,31.2,102,0
5636,M15635,M,301.4,312.1,1369,40.5,252,0
5637,M15636,H,304.2,316.2,1472,41.5,54,0
5638,M15637,L,298.0,307.6,1420,47.1,15,0
5639,M15638,L,299.3,308.5,1376,48.8,248,0
5640,M15639,M,300.5,309.3,1683,29.0,62,0
5641,M15640,M,301.6,311.8,1519,40.6,161,0
5642,M15641,L,298.9,309.4,1763,20.1,95,0
5643,M15642,H,294.3,303.8,1386,48.0,162,0
5644,M15643,H,302.7,313.5,1230,36.6,151,0
5645,M15644,L,301.5,312.0,1566,28.1,179,0
5646,M15645,M,296.5,306.6,1871,43.3,5,0
5647,M15646,H,298.8,307.9,1634,36.3,212,0
5648,M15647,L,303.1,312.7,2115,52.5,121,0
5649,M15648,L,302.9,310.5,1598,31.2,131,0
5650,M15649,H,301.9,312.1,1581,62.0,104,0
5651,M15650,L,299.6,309.7,1153,48.5,250,0
5652,M15651,L,300.2,310.4,1616,52.7,203,0
5653,M15652,L,299.7,310.2,1569,29.8,79,0
5654,M15653,H,302.3,312.6,1466,57.7,198,0
5655,M15654,L,298.2,308.1,1515,28.0,111,0
5656,M15655,L,298.4,308.4,1527,37.9,220,0
5657,M15656,M,302.0,310.6,1507,52.9,8,0
5658,M15657,L,299.9,309.3,1913,45.0,90,0
5659,M15658,L,302.8,312.8,1473,27.7,109,0
5660,M15659,L,298.7,307.9,1569,51.2,188,0
5661,M15660,M,299.9,310.8,1467,43.4,46,0
5662,M15661,L,298.2,307.5,1679,35.9,72,0
5663,M15662,L,300.0,310.2,1571,24.7,183,0
5664,M15663,H,297.0,307.2,1489,44.3,19,0
5665,M15664,L,299.0,309.8,1194,38.4,51,0
5666,M15665,H,297.1,308.0,1583,41.5,191,0
5667,M15666,M,301.4,312.1,1484,24.3,222,0
5668,M15667,H,301.4,309.3,1528,35.9,184,0
5669,M15668,L,296.5,307.7,1327,44.8,133,0
5670,M15669,L,302.7,314.2,1796,58.6,25,0
5671,M15670,M,305.0,314.5,1692,38.0,209,0
5672,M15671,L,300.1,310.3,1795,54.3,31,0
5673,M15672,M,298.7,307.8,1744,47.8,97,0
5674,M15673,L,305.6,313.7,1645,42.3,13,0
5675,M15674,L,297.4,306.6,1335,30.0,180,0
5676,M15675,H,300.0,309.5,1869,30.4,127,0
5677,M15676,M,300.4,310.0,1373,46.1,230,0
5678,M15677,M,302.7,311.7,1491,34.8,35,0
5679,M15678,L,300.7,310.0,1666,33.9,207,0
5680,M15679,M,299.0,309.0,1674,38.2,129,0
5681,M15680,L,298.1,307.3,1641,38.4,93,0
5682,M15681,H,299.3,309.9,1467,48.9,163,0
5683,M15682,L,298.0,308.7,1430,35.0,200,0
5684,M15683,H,300.1,312.5,1993,47.9,111,0
5685,M15684,H,298.9,310.0,1532,44.4,59,0
5686,M15685,L,297.0,307.3,1510,23.4,232,0
5687,M15686,L,302.5,311.9,1411,42.9,79,0
5688,M15687,H,299.0,309.3,1583,13.6,253,0
5689,M15688,M,297.5,307.8,1574,31.1,194,0
5690,M15689,L,299.7,309.2,1536,44.6,174,0
5691,M15690,H,300.1,310.9,1607,39.9,3,0
5692,M15691,H,296.5,305.1,1855,22.5,113,0
5693,M15692,L,300.7,310.4,1432,28.9,127,0
5694,M15693,H,297.9,308.5,1547,14.2,95,0
5695,M15694,M,303.4,313.1,1423,26.7,38,0
5696,M15695,L,301.0,310.8,1592,45.7,93,0
5697,M15696,L,299.2,309.1,1437,34.5,19,0
5698,M15697,H,298.5,307.7,1445,41.7,74,0
5699,M15698,L,299.8,311.0,1278,40.1,21,0
5700,M15699,L,301.2,310.2,1557,40.3,190,0
5701,M15700,M,299.9,310.3,1616,50.1,170,0
5702,M15701,L,299.6,310.0,1872,38.0,238,0
5703,M15702,M,300.1,309.2,1623,49.0,96,0
5704,M15703,L,298.8,308.9,1459,15.5,199,0
5705,M15704,L,299.3,308.4,1296,51.0,149,0
5706,M15705,M,295.8,307.2,1320,27.2,163,0
5707,M15706,M,301.9,310.8,1307,29.4,139,0
5708,M15707,M,300.6,309.9,1875,33.0,197,0
5709,M15708,M,298.5,307.2,1591,50.7,11,0
5710,M15709,L,303.8,312.4,1435,31.2,20,0
5711,M15710,L,300.2,311.8,1367,33.5,24,0
5712,M15711,L,297.9,308.5,1386,30.5,73,0
5713,M15712,L,301.7,311.9,1430,42.5,150,0
5714,M15713,H,300.8,310.1,1775,47.4,163,0
5715,M15714,M,300.8,311.7,1534,56.9,180,0
5716,M15715,L,299.1,308.3,1280,63.8,71,0
5717,M15716,L,300.9,311.7,1953,46.4,165,0
5718,M15717,H,299.5,308.6,1335,43.6,30,0
5719,M15718,H,301.1,310.5,1433,27.9,3,0
5720,M15719,M,296.2,306.9,1774,58.9,176,0
5721,M15720,M,299.1,310.0,1613,42.1,181,0
5722,M15721,H,303.4,314.0,1455,37.1,157,0
5723,M15722,M,298.5,307.4,1319,43.8,65,0
5724,M15723,M,298.8,308.3,1366,33.7,235,1
5725,M15724,H,299.1,309.3,1377,16.9,222,1
5726,M15725,L,297.6,306.7,1540,45.7,130,0
5727,M15726,M,295.6,307.0,1573,53.3,250,0
5728,M15727,L,299.5,307.1,1512,45.5,76,0
5729,M15728,L,300.3,309.5,1532,39.9,124,0
5730,M15729,H,299.9,309.4,1351,40.1,235,0
5731,M15730,M,299.7,306.9,1591,41.7,117,0
5732,M15731,L,300.1,308.7,1768,41.4,119,0
5733,M15732,M,302.0,312.7,1510,39.4,20,0
5734,M15733,H,299.6,309.6,1506,40.3,53,0
5735,M15734,H,298.9,310.4,1554,55.4,40,0
5736,M15735,M,299.4,311.0,1739,44.7,143,0
5737,M15736,M,301.2,311.6,1379,41.0,81,0
5738,M15737,M,302.8,313.1,1799,46.5,19,0
5739,M15738,M,298.7,308.8,1614,46.5,129,0
5740,M15739,H,300.2,307.5,1544,49.4,169,0
5741,M15740,L,300.7,309.3,1756,32.5,186,0
5742,M15741,M,298.0,308.1,1327,35.2,212,0
5743,M15742,L,300.0,310.7,1632,31.9,122,0
5744,M15743,M,297.1,307.4,1616,47.6,99,0
5745,M15744,L,296.5,305.6,1372,47.1,173,0
5746,M15745,H,300.7,311.7,1621,27.4,3,0
5747,M15746,M,299.2,310.7,1590,43.9,160,0
5748,M15747,H,300.4,311.3,1507,53.6,103,0
5749,M15748,H,300.0,311.0,1693,37.7,115,0
5750,M15749,H,298.0,307.5,1437,43.1,75,0
5751,M15750,L,299.9,311.0,1587,47.2,32,0
5752,M15751,L,297.5,307.7,1515,26.9,102,0
5753,M15752,L,302.8,313.3,1429,41.5,78,0
5754,M15753,M,297.3,307.7,1629,52.6,243,0
5755,M15754,L,299.6,309.5,1502,34.1,239,0
5756,M15755,H,297.9,307.1,1275,48.2,163,0
5757,M15756,L,301.1,311.1,1217,40.3,229,0
5758,M15757,M,299.3,310.3,1680,33.3,190,0
5759,M15758,H,299.0,308.5,1321,39.0,88,0
5760,M15759,H,301.7,312.6,1589,34.8,153,0
5761,M15760,L,300.1,310.8,1549,31.2,56,0
5762,M15761,L,301.0,310.7,1473,37.5,174,0
5763,M15762,M,298.0,309.4,1889,40.7,11,0
5764,M15763,M,297.2,306.8,1571,38.4,210,0
5765,M15764,M,300.2,311.7,1674,37.4,148,0
5766,M15765,L,299.4,309.8,1590,42.2,15,0
5767,M15766,L,301.3,311.2,1498,45.3,221,1
5768,M15767,L,299.8,309.0,1536,28.7,222,0
5769,M15768,L,300.4,310.3,1800,37.5,216,0
5770,M15769,L,296.8,306.5,1734,20.5,196,0
5771,M15770,H,303.8,312.5,1888,38.4,172,1
5772,M15771,L,299.7,309.5,1579,41.5,100,0
5773,M15772,M,301.4,310.6,1382,45.6,34,0
5774,M15773,H,298.3,308.9,1460,41.5,73,0
5775,M15774,L,300.6,311.9,1326,45.4,88,0
5776,M15775,L,297.4,306.2,1676,40.6,91,0
5777,M15776,L,300.9,312.6,1434,33.3,143,0
5778,M15777,L,299.3,309.2,992,29.0,53,0
5779,M15778,M,300.1,309.1,1980,37.4,48,0
5780,M15779,L,301.4,312.2,1437,32.4,181,0
5781,M15780,M,297.5,307.1,1436,38.8,2,0
5782,M15781,L,298.6,308.5,1838,35.1,38,0
5783,M15782,H,300.9,310.5,1323,44.1,110,0
5784,M15783,L,304.2,313.4,1742,40.5,38,0
5785,M15784,L,299.7,310.4,1434,44.4,243,0
5786,M15785,L,301.2,310.9,1302,44.4,170,0
5787,M15786,L,299.8,308.3,1844,38.2,109,0
5788,M15787,L,303.9,314.4,1704,38.8,28,0
5789,M15788,L,296.5,305.3,1704,45.0,97,0
5790,M15789,H,300.2,309.0,1605,64.2,165,0
5791,M15790,L,296.7,307.9,1646,30.2,245,0
5792,M15791,L,295.0,303.8,1318,40.4,120,0
5793,M15792,M,300.6,308.3,1559,28.2,175,0
5794,M15793,L,300.3,310.9,1373,39.8,49,0
5795,M15794,L,299.4,309.1,1290,33.3,158,0
5796,M15795,H,299.8,309.6,1613,38.8,60,0
5797,M15796,L,306.2,315.9,1746,41.5,50,0
5798,M15797,M,299.5,309.7,1470,35.2,129,0
5799,M15798,H,301.0,310.3,1501,22.3,54,0
5800,M15799,L,298.7,310.2,1335,54.1,182,0
5801,M15800,L,300.6,309.1,1540,48.3,237,0
5802,M15801,L,299.5,310.0,1675,38.7,100,0
5803,M15802,L,299.2,309.8,1681,31.1,82,0
5804,M15803,H,303.6,312.9,1637,40.8,44,0
5805,M15804,L,302.4,311.3,1428,43.6,99,0
5806,M15805,M,300.3,311.3,1423,47.6,142,0
5807,M15806,H,295.4,304.4,1681,48.5,94,0
5808,M15807,M,299.3,308.7,1684,50.4,158,0
5809,M15808,M,305.4,316.3,1508,22.8,168,0
5810,M15809,H,299.5,309.6,1463,37.0,25,0
5811,M15810,M,302.2,310.4,1748,49.8,177,0
5812,M15811,H,302.9,314.6,1475,30.9,228,0
5813,M15812,L,300.4,309.9,1673,52.1,7,0
5814,M15813,M,298.3,307.9,1515,57.9,139,0
5815,M15814,L,295.1,305.4,1351,51.8,153,0
5816,M15815,H,301.4,312.0,1828,46.5,180,0
5817,M15816,M,298.4,310.3,1560,35.6,98,0
5818,M15817,M,300.4,308.7,1412,42.8,207,0
5819,M15818,L,297.5,308.3,1290,26.7,137,0
5820,M15819,L,299.5,310.2,1308,32.3,103,0
5821,M15820,L,300.1,309.9,1472,33.0,182,0
5822,M15821,L,300.5,311.3,1884,40.6,235,0
5823,M15822,L,297.8,308.7,1434,36.1,205,0
5824,M15823,M,302.4,311.0,1798,42.6,235,0
5825,M15824,M,298.8,310.6,1516,48.7,67,0
5826,M15825,M,296.7,305.1,1328,33.0,30,0
5827,M15826,M,299.8,308.6,1454,41.5,135,0
5828,M15827,H,300.1,309.8,1310,35.9,11,0
5829,M15828,L,300.3,312.2,1386,41.9,171,0
5830,M15829,M,302.7,312.4,1380,46.8,61,0
5831,M15830,L,299.5,309.5,1198,49.1,115,0
5832,M15831,M,299.8,311.2,1810,46.6,166,0
5833,M15832,M,297.8,307.5,1577,44.1,122,0
5834,M15833,M,301.6,310.5,1416,25.9,60,0
5835,M15834,M,300.4,310.0,1579,29.3,223,0
5836,M15835,L,299.2,310.5,1389,31.8,193,0
5837,M15836,L,296.2,306.3,1061,43.6,152,0
5838,M15837,M,302.9,314.8,2068,27.2,177,0
5839,M15838,M,297.5,308.3,1573,43.3,105,0
5840,M15839,L,298.8,308.2,1434,42.6,95,0
5841,M15840,L,300.7,310.8,1193,20.8,41,0
5842,M15841,M,297.6,306.8,1272,29.2,203,0
5843,M15842,H,297.0,306.3,1835,50.3,96,0
5844,M15843,M,295.8,310.2,1808,46.9,175,0
5845,M15844,L,301.4,312.5,1674,31.6,76,0
5846,M15845,L,298.9,309.8,1339,29.8,201,0
5847,M15846,M,305.9,315.2,1809,15.7,27,0
5848,M15847,M,298.0,309.6,1620,54.6,158,0
5849,M15848,L,298.2,309.3,1656,40.4,204,0
5850,M15849,L,298.9,310.8,1619,58.6,167,0
5851,M15850,M,300.5,312.3,1269,38.1,176,0
5852,M15851,L,299.1,307.6,1325,42.8,133,0
5853,M15852,L,301.2,310.1,1448,48.8,141,1
5854,M15853,H,298.0,307.0,1654,56.2,17,0
5855,M15854,H,297.2,306.3,1292,45.0,63,0
5856,M15855,M,296.4,306.7,1508,40.0,183,0
5857,M15856,L,295.6,305.0,1507,40.3,239,0
5858,M15857,L,299.0,311.0,1681,29.6,137,0
5859,M15858,L,299.4,311.3,1660,36.2,184,0
5860,M15859,L,298.7,308.7,1358,40.5,173,0
5861,M15860,L,302.5,314.4,1798,53.7,253,0
5862,M15861,L,302.5,313.9,1331,35.7,201,0
5863,M15862,M,299.3,308.9,1735,50.5,159,0
5864,M15863,M,296.4,304.4,1441,39.2,29,0
5865,M15864,L,298.9,308.6,1568,52.3,92,0
5866,M15865,L,298.8,308.2,1579,46.7,63,0
5867,M15866,M,298.7,308.9,1574,46.0,216,0
5868,M15867,L,298.6,308.7,1660,49.7,113,0
5869,M15868,L,298.7,308.8,1609,48.2,135,0
5870,M15869,L,299.2,309.8,1679,50.5,244,0
5871,M15870,M,298.7,307.5,1622,61.1,212,0
5872,M15871,M,300.4,310.8,1313,56.0,200,0
5873,M15872,M,300.7,310.3,1587,44.6,36,0
5874,M15873,L,298.2,308.4,1438,35.6,6,0
5875,M15874,M,302.5,313.5,1340,43.6,32,0
5876,M15875,L,298.0,306.8,1487,20.9,187,0
5877,M15876,L,296.8,306.5,1572,48.2,104,0
5878,M15877,M,300.8,310.6,1584,29.5,30,0
5879,M15878,M,298.4,307.9,1728,51.1,187,0
5880,M15879,L,300.6,311.5,1773,59.6,49,0
5881,M15880,L,295.2,304.5,1599,25.6,149,0
5882,M15881,L,302.8,312.2,1632,39.5,188,0
5883,M15882,M,301.3,310.6,1556,29.5,154,0
5884,M15883,M,297.0,308.1,1676,22.9,251,0
5885,M15884,L,297.0,306.6,1626,38.9,110,0
5886,M15885,M,303.3,313.8,1529,46.3,79,0
5887,M15886,M,298.5,310.5,1924,47.5,51,1
5888,M15887,L,298.3,308.3,1441,41.5,127,0
5889,M15888,L,295.5,306.6,1799,23.5,216,0
5890,M15889,H,299.3,311.0,1297,41.2,240,0
5891,M15890,M,299.5,310.6,1685,25.2,246,0
5892,M15891,L,301.4,311.4,1796,25.9,134,0
5893,M15892,M,297.2,307.8,1198,30.1,153,0
5894,M15893,H,297.0,305.7,1564,50.4,147,0
5895,M15894,L,300.9,310.1,1667,45.4,118,0
5896,M15895,M,302.0,311.4,1584,43.2,39,0
5897,M15896,L,296.9,309.1,1607,31.5,17,0
5898,M15897,L,302.2,311.4,1563,36.2,110,0
5899,M15898,M,300.1,309.2,1343,26.4,47,0
5900,M15899,L,302.2,311.1,1963,53.5,224,0
5901,M15900,H,299.9,310.4,1449,61.8,193,0
5902,M15901,M,295.0,305.1,1617,45.5,156,0
5903,M15902,L,299.7,310.8,1423,47.2,12,0
5904,M15903,M,302.1,312.8,1132,38.4,157,0
5905,M15904,M,298.2,306.8,1374,24.0,157,0
5906,M15905,L,299.2,308.4,1280,31.6,111,0
5907,M15906,L,299.6,311.0,1734,35.4,166,0
5908,M15907,L,294.2,304.0,1430,36.2,217,0
5909,M15908,L,303.3,314.5,1447,33.9,192,0
5910,M15909,M,298.2,308.0,1348,40.5,120,0
5911,M15910,L,301.0,310.0,1556,31.6,66,1
5912,M15911,L,299.8,309.5,1411,61.5,121,0
5913,M15912,L,302.5,311.5,1717,26.5,239,0
5914,M15913,L,300.8,310.2,1593,48.8,207,0
5915,M15914,M,299.5,309.7,1437,37.4,7,0
5916,M15915,L,298.2,308.7,1691,44.6,198,0
5917,M15916,L,301.6,310.0,1540,45.0,43,0
5918,M15917,L,296.3,306.2,1543,41.6,144,0
5919,M15918,M,301.3,310.7,1277,28.8,204,0
5920,M15919,M,297.8,307.2,1526,36.7,142,0
5921,M15920,H,302.5,312.6,1597,41.7,102,0
5922,M15921,M,300.3,309.8,1778,41.1,81,0
5923,M15922,H,301.3,312.7,1404,29.9,77,0
5924,M15923,M,300.2,311.4,1947,52.8,212,0
5925,M15924,M,296.5,307.7,1639,15.3,209,0
5926,M15925,H,298.3,307.8,1267,37.5,208,0
5927,M15926,L,301.3,310.4,1388,30.9,72,0
5928,M15927,H,300.3,310.4,1793,41.8,202,0
5929,M15928,L,302.4,312.2,1762,50.1,9,0
5930,M15929,M,300.8,310.2,1542,26.1,52,0
5931,M15930,M,298.1,306.9,1566,63.3,130,0
5932,M15931,L,298.4,308.4,1331,42.0,103,0
5933,M15932,H,300.2,309.8,1776,43.8,28,0
5934,M15933,H,295.4,306.1,1362,25.7,11,0
5935,M15934,M,303.3,314.0,1690,39.5,155,0
5936,M15935,L,300.9,312.0,1781,49.6,79,0
5937,M15936,M,302.5,311.2,1548,42.1,4,0
5938,M15937,L,296.8,307.2,1712,41.4,109,0
5939,M15938,H,302.5,311.8,1870,39.5,78,0
5940,M15939,L,304.5,313.2,1587,26.4,146,0
5941,M15940,M,297.4,306.9,1508,26.3,235,0
5942,M15941,M,301.5,312.6,1527,51.6,78,0
5943,M15942,L,300.0,309.6,1406,48.7,252,1
5944,M15943,M,296.9,308.5,1402,50.2,22,0
5945,M15944,L,301.0,311.5,1618,31.9,22,0
5946,M15945,L,301.7,311.3,1510,38.4,180,0
5947,M15946,H,298.8,310.0,1598,52.2,189,0
5948,M15947,L,302.3,312.8,1272,27.8,107,0
5949,M15948,L,296.7,305.7,1522,51.2,72,0
5950,M15949,L,297.0,308.9,1723,34.2,201,0
5951,M15950,L,300.3,310.5,1339,31.5,242,0
5952,M15951,M,300.1,310.1,1542,39.7,250,0
5953,M15952,L,298.6,307.7,1207,28.9,161,0
5954,M15953,L,301.6,312.8,1305,21.2,187,0
5955,M15954,H,301.1,311.6,1684,40.8,208,0
5956,M15955,M,301.7,312.3,1484,45.3,202,0
5957,M15956,L,299.8,309.2,1865,52.0,251,0
5958,M15957,H,301.2,312.0,1616,46.0,205,0
5959,M15958,H,299.1,310.0,1634,59.5,168,0
5960,M15959,L,304.1,313.4,1346,53.5,95,0
5961,M15960,H,298.4,307.0,1470,47.3,151,0
5962,M15961,M,304.2,314.8,1408,44.6,223,0
5963,M15962,H,300.1,308.5,1348,52.2,77,0
5964,M15963,H,297.2,307.4,1658,18.1,8,0
5965,M15964,M,302.7,312.3,1694,35.2,83,0
5966,M15965,L,300.3,311.5,1610,21.6,243,0
5967,M15966,H,301.7,311.3,1391,46.6,201,0
5968,M15967,M,302.4,313.6,1598,32.6,47,0
5969,M15968,L,300.7,310.2,1197,69.9,3,0
5970,M15969,L,298.8,309.8,1776,34.9,169,0
5971,M15970,L,302.0,314.0,1307,41.1,146,0
5972,M15971,H,300.0,308.9,1338,36.0,21,0
5973,M15972,H,301.4,311.7,1560,35.2,244,0
5974,M15973,L,295.7,308.4,1576,27.7,156,0
5975,M15974,L,300.9,311.0,1526,27.3,165,0
5976,M15975,L,298.7,308.8,1340,18.4,216,0
5977,M15976,M,303.3,314.1,1742,45.4,85,0
5978,M15977,H,301.2,311.3,1237,35.8,141,0
5979,M15978,M,300.5,308.8,1273,59.1,146,0
5980,M15979,M,301.0,312.1,1520,27.7,245,0
5981,M15980,L,298.0,306.0,1313,54.6,33,0
5982,M15981,L,303.2,312.8,1758,55.6,192,0
5983,M15982,L,304.0,315.2,1328,52.6,146,0
5984,M15983,L,300.8,310.4,1818,42.3,214,0
5985,M15984,L,303.2,312.5,1724,36.7,210,0
5986,M15985,L,298.9,309.7,1760,52.6,3,0
5987,M15986,H,298.4,307.6,1877,32.2,65,0
5988,M15987,H,300.1,308.9,1554,42.7,46,0
5989,M15988,M,300.9,311.1,1358,39.6,117,0
5990,M15989,M,299.2,309.0,1521,31.2,229,0
5991,M15990,H,301.1,309.8,1438,42.8,1,0
5992,M15991,H,300.6,311.2,1412,47.3,124,0
5993,M15992,L,298.0,308.5,1566,30.8,224,0
5994,M15993,L,301.0,310.7,1483,44.6,234,0
5995,M15994,M,301.7,311.4,1404,17.9,166,0
5996,M15995,M,300.3,310.8,1495,29.6,210,0
5997,M15996,H,302.3,313.5,1637,35.5,82,0
5998,M15997,L,297.6,307.3,1710,43.5,72,0
5999,M15998,L,300.9,311.6,1252,48.6,12,0
6000,M15999,M,297.7,308.2,1485,40.8,127,0
6001,M16000,L,297.8,308.7,1514,45.6,115,0
6002,M16001,L,298.7,308.8,1327,38.4,94,0
6003,M16002,L,298.1,307.2,1518,44.0,29,0
6004,M16003,L,298.9,308.4,1565,43.5,58,0
6005,M16004,L,299.6,309.9,1632,35.0,52,0
6006,M16005,M,301.7,313.5,1553,36.5,239,0
6007,M16006,M,299.4,308.9,1381,45.9,245,0
6008,M16007,M,296.8,307.6,1899,57.9,1,0
6009,M16008,L,302.3,312.0,1687,51.9,43,0
6010,M16009,L,298.3,308.4,1638,28.8,225,0
6011,M16010,L,299.9,311.4,1719,28.9,10,0
6012,M16011,H,300.9,311.7,1583,34.7,239,0
6013,M16012,L,300.4,309.2,1769,41.0,96,0
6014,M16013,L,302.2,311.6,1549,40.5,136,0
6015,M16014,M,301.0,312.2,1539,52.3,193,0
6016,M16015,L,298.3,308.4,1653,52.8,62,0
6017,M16016,H,304.4,313.2,1821,40.1,25,0
6018,M16017,H,300.4,309.6,1810,37.7,205,0
6019,M16018,H,299.7,310.4,1645,45.1,249,0
6020,M16019,M,301.9,312.9,1631,50.5,167,0
6021,M16020,L,300.5,310.5,1664,45.5,209,0
6022,M16021,L,300.8,313.3,1715,35.7,238,0
6023,M16022,L,305.0,315.8,1771,33.9,58,0
6024,M16023,H,299.4,309.2,1497,29.0,89,0
6025,M16024,M,299.4,308.5,1775,41.9,55,0
6026,M16025,H,300.2,309.3,1600,46.2,16,0
6027,M16026,M,302.1,312.5,1656,47.3,185,0
6028,M16027,L,297.0,306.5,1786,51.4,37,0
6029,M16028,L,296.1,307.7,1673,54.7,23,0
6030,M16029,L,298.8,310.3,1703,26.4,90,0
6031,M16030,L,296.7,307.4,1469,44.0,15,0
6032,M16031,M,299.2,308.0,1807,44.3,45,0
6033,M16032,L,301.0,310.3,1664,39.3,18,0
6034,M16033,M,298.2,309.5,1562,31.8,222,0
6035,M16034,M,297.1,306.6,1736,54.3,197,0
6036,M16035,M,300.1,311.3,2002,34.2,217,0
6037,M16036,H,301.7,312.2,1330,18.3,220,0
6038,M16037,M,296.6,306.7,1395,40.2,239,0
6039,M16038,M,301.6,310.9,2020,37.6,47,0
6040,M16039,L,301.6,311.5,1615,58.4,228,0
6041,M16040,H,301.9,312.1,1573,44.8,133,0
6042,M16041,L,302.4,313.5,1518,37.0,42,0
6043,M16042,L,304.4,313.5,1755,38.1,166,0
6044,M16043,H,299.3,309.0,2006,37.9,83,0
6045,M16044,L,300.2,310.3,1420,61.9,12,0
6046,M16045,L,299.2,309.8,1522,46.7,20,0
6047,M16046,L,300.0,309.1,1476,26.1,107,0
6048,M16047,L,303.1,311.7,1670,37.6,209,0
6049,M16048,M,297.3,308.0,1758,39.8,79,0
6050,M16049,L,298.3,306.8,1829,29.0,194,0
6051,M16050,L,302.8,314.0,1676,22.3,14,0
6052,M16051,H,302.0,311.9,1990,45.9,100,0
6053,M16052,L,299.3,307.7,1436,32.0,32,0
6054,M16053,L,301.7,311.2,1390,52.4,218,0
6055,M16054,L,300.7,311.1,1802,40.1,245,0
6056,M16055,L,303.0,312.5,1561,35.3,82,0
6057,M16056,L,300.1,310.2,1293,16.1,250,0
6058,M16057,H,302.1,312.8,1482,52.1,190,0
6059,M16058,L,305.3,315.1,1585,42.9,0,0
6060,M16059,L,301.2,310.3,1423,35.6,123,0
6061,M16060,M,300.1,309.8,1357,31.2,211,0
6062,M16061,L,301.4,312.9,1502,55.8,135,0
6063,M16062,L,299.3,311.0,1348,29.5,139,0
