UDI,Product ID,Type,Air temperature [K],Process temperature [K],Air temperature [C],Process temperature [C],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF
4936,L64466,L,297.84,307.24,24.69,34.09,1692,19.97,111,0,0,0,0,0
4937,H47235,H,297.97,308.66,24.82,35.51,1578,39.77,171,0,0,0,0,0
4938,L18876,L,298.8,310.44,25.65,37.29,1351,49.13,176,0,0,0,0,0
4939,M25296,M,300.79,313.45,27.64,40.3,1531,36.71,154,0,0,0,0,0
4940,M84771,M,300.72,309.98,27.57,36.83,1611,29.78,186,0,0,0,0,0
4941,L99364,L,298.31,306.49,25.16,33.34,1708,33.25,2,0,0,0,0,0
4942,L17563,L,297.67,308.22,24.52,35.07,1403,34.78,121,0,0,0,0,0
4943,M23047,M,300.56,312.17,27.41,39.02,1437,43.98,126,0,0,0,0,0
4944,L12147,L,299.64,310.45,26.49,37.3,1413,48.1,57,0,0,0,0,0
4945,M54626,M,304.31,315.92,31.16,42.77,1422,43.86,134,0,0,0,0,0
4946,H12450,H,300.07,309.85,26.92,36.7,1606,38.78,112,0,0,0,0,0
4947,M11380,M,303.63,313.02,30.48,39.87,1639,41.04,113,0,0,0,0,0
4948,M23088,M,297.66,307.77,24.51,34.62,1719,40.34,28,0,0,0,0,0
4949,M60596,M,296.85,306.52,23.7,33.37,1519,31.49,104,0,0,0,0,0
4950,M58415,M,297.76,308.42,24.61,35.27,1289,32.14,184,0,0,0,0,0
4951,L15375,L,302.38,313.35,29.23,40.2,1652,36.9,98,0,0,0,0,0
4952,L53421,L,303.51,314.56,30.36,41.41,1563,44.06,117,0,0,0,0,0
4953,L54301,L,298.44,308.95,25.29,35.8,1545,24.43,232,1,1,0,0,0
4954,M79636,M,299.08,309.32,25.93,36.17,1310,44.27,209,0,0,0,0,0
4955,L74844,L,297.66,308.46,24.51,35.31,1501,47.21,223,1,1,0,0,0
4956,M62687,M,296.38,304.41,23.23,31.26,1326,42.27,19,1,0,1,0,0
4957,L92572,L,301.44,311.65,28.29,38.5,1619,47.55,148,0,0,0,0,0
4958,M60524,M,300.45,310.5,27.3,37.35,1460,49.92,54,0,0,0,0,0
4959,L85607,L,300.02,310.23,26.87,37.08,1444,38.21,97,0,0,0,0,0
4960,M64929,M,297.2,307.11,24.05,33.96,1266,42.32,163,0,0,0,0,0
4961,L87926,L,303.28,313.71,30.13,40.56,1715,30.62,139,0,0,0,0,0
4962,L12951,L,298.99,308.42,25.84,35.27,1490,39.54,121,0,0,0,0,0
4963,L93052,L,301.07,312.2,27.92,39.05,1550,27.57,195,0,0,0,0,0
4964,M49038,M,297.09,307.56,23.94,34.41,1406,29.88,164,0,0,0,0,0
4965,L22048,L,299.62,309.77,26.47,36.62,1246,27.81,197,0,0,0,0,0
4966,L45384,L,300.58,309.89,27.43,36.74,1442,39.57,224,0,0,0,0,0
4967,H95033,H,300.65,311.47,27.5,38.32,1470,55.29,171,0,0,0,0,0
4968,M87852,M,300.31,310.52,27.16,37.37,1586,20.2,95,1,0,0,1,0
4969,H30840,H,300.99,310.23,27.84,37.08,1473,37.43,51,0,0,0,0,0
4970,L68038,L,297.74,307.68,24.59,34.53,1409,38.94,65,0,0,0,0,0
4971,L98261,L,300.39,311.02,27.24,37.87,1272,43.83,95,0,0,0,0,0
4972,M48570,M,300.23,310.78,27.08,37.63,1543,47.18,178,0,0,0,0,0
4973,L17995,L,300.46,310.95,27.31,37.8,1396,33.95,10,0,0,0,0,0
4974,M33258,M,300.14,310.24,26.99,37.09,1766,16.87,195,1,0,0,1,0
4975,L10333,L,297.45,308.48,24.3,35.33,1561,32.42,182,0,0,0,0,0
4976,L69546,L,297.36,308.6,24.21,35.45,1633,29.74,120,0,0,0,0,0
4977,L79712,L,295.57,306.31,22.42,33.16,1491,20.57,96,1,0,0,1,0
4978,L44252,L,301.64,311.05,28.49,37.9,1570,38.45,27,0,0,0,0,0
4979,L82576,L,301.66,310.6,28.51,37.45,1379,32.06,70,0,0,0,0,0
4980,L59384,L,301.69,311.14,28.54,37.99,1329,42.45,26,0,0,0,0,0
4981,H79422,H,300.61,312.57,27.46,39.42,1538,34.36,197,0,0,0,0,0
4982,L34171,L,295.73,306.02,22.58,32.87,1635,26.46,122,0,0,0,0,0
4983,M65680,M,297.95,310.07,24.8,36.92,1194,55.09,59,0,0,0,0,0
4984,M30749,M,300.34,310.22,27.19,37.07,1448,37.33,4,0,0,0,0,0
4985,L85133,L,300.27,310.01,27.12,36.86,1857,31.28,126,0,0,0,0,0
4986,L33079,L,299.55,309.48,26.4,36.33,1619,40.08,181,0,0,0,0,0
4987,M83154,M,300.74,310.65,27.59,37.5,1804,34.07,184,0,0,0,0,0
4988,M21241,M,300.02,309.25,26.87,36.1,1424,41.39,51,0,0,0,0,0
4989,M50712,M,300.24,309.09,27.09,35.94,1455,32.79,239,0,0,0,0,0
4990,M76372,M,298.72,309.22,25.57,36.07,1704,24.72,137,0,0,0,0,0
4991,H84136,H,301.96,313.02,28.81,39.87,1644,36.11,80,0,0,0,0,0
4992,L45519,L,299.14,311.58,25.99,38.43,1518,30.04,94,0,0,0,0,0
4993,L52528,L,297.34,306.9,24.19,33.75,1314,49.96,30,0,0,0,0,0
4994,M40411,M,298.46,308.11,25.31,34.96,1737,31.94,118,0,0,0,0,0
4995,L45942,L,299.3,308.53,26.15,35.38,1974,34.21,181,0,0,0,0,0
4996,M34394,M,301.99,313.11,28.84,39.96,1260,37.59,98,0,0,0,0,0
4997,L82352,L,299.92,310.73,26.77,37.58,1781,23.05,208,0,0,0,0,0
4998,L38943,L,299.63,308.75,26.48,35.6,1453,52.86,114,0,0,0,0,0
4999,M87570,M,297.5,306.6,24.35,33.45,1477,37.61,216,1,1,0,0,0
5000,L37396,L,301.57,312.52,28.42,39.37,1582,43.52,169,0,0,0,0,0
5001,L14327,L,298.7,309.08,25.55,35.93,1324,31.98,13,0,0,0,0,0
5002,L22407,L,299.8,310.56,26.65,37.41,1529,35.22,16,0,0,0,0,0
5003,M70271,M,302.96,312.08,29.81,38.93,1253,56.14,192,0,0,0,0,0
5004,L19610,L,301.02,309.14,27.87,35.99,1618,22.89,86,0,0,0,0,0
5005,M72932,M,296.74,305.87,23.59,32.72,1926,47.95,45,1,0,0,1,0
5006,L85208,L,296.46,307.15,23.31,34.0,1423,41.88,208,0,0,0,0,0
5007,M56698,M,299.87,311.98,26.72,38.83,1505,31.51,236,0,0,0,0,0
5008,M79259,M,297.57,307.15,24.42,34.0,1514,40.66,194,0,0,0,0,0
5009,L71994,L,301.3,313.57,28.15,40.42,1708,42.43,174,0,0,0,0,0
5010,L45558,L,300.08,310.91,26.93,37.76,1606,29.07,0,0,0,0,0,0
5011,L47681,L,300.33,308.94,27.18,35.79,1696,28.33,25,0,0,0,0,0
5012,M23797,M,298.59,308.8,25.44,35.65,1446,41.61,161,0,0,0,0,0
5013,L18359,L,303.48,314.35,30.33,41.2,1611,39.27,98,0,0,0,0,0
5014,M45276,M,305.69,313.26,32.54,40.11,1100,50.5,5,1,0,1,0,0
5015,L59570,L,299.44,310.09,26.29,36.94,1652,37.91,178,0,0,0,0,0
5016,L68808,L,300.71,311.88,27.56,38.73,1322,50.17,101,0,0,0,0,0
5017,L60871,L,300.19,310.59,27.04,37.44,1478,40.16,158,0,0,0,0,0
5018,L50022,L,299.48,309.42,26.33,36.27,1665,28.87,112,0,0,0,0,0
5019,L92446,L,298.34,308.16,25.19,35.01,1266,45.08,6,0,0,0,0,0
5020,M49047,M,297.83,307.6,24.68,34.45,1726,47.25,153,0,0,0,0,0
5021,M42648,M,297.73,306.55,24.58,33.4,1513,40.53,189,0,0,0,0,0
5022,L95414,L,300.81,310.12,27.66,36.97,1789,41.94,37,0,0,0,0,0
5023,H76912,H,298.96,308.54,25.81,35.39,1377,37.49,214,0,0,0,0,0
5024,M22219,M,294.84,304.96,21.69,31.81,1218,49.15,44,0,0,0,0,0
5025,H56250,H,300.89,310.33,27.74,37.18,1530,43.8,101,0,0,0,0,0
5026,L39758,L,299.92,309.05,26.77,35.9,1638,46.97,127,0,0,0,0,0
5027,L87010,L,302.69,313.45,29.54,40.3,1652,44.49,75,0,0,0,0,0
5028,L90033,L,300.75,311.12,27.6,37.97,1336,33.92,120,0,0,0,0,0
5029,M73869,M,297.04,306.5,23.89,33.35,1251,55.03,172,0,0,0,0,0
5030,L41605,L,295.54,306.05,22.39,32.9,1480,52.19,171,0,0,0,0,0
5031,L97960,L,298.56,308.11,25.41,34.96,1625,30.65,221,0,0,0,0,0
5032,L80841,L,298.75,308.81,25.6,35.66,1617,28.29,207,0,0,0,0,0
5033,L70128,L,301.89,312.86,28.74,39.71,1810,31.46,236,1,1,0,0,0
5034,M55005,M,299.98,309.38,26.83,36.23,1470,40.42,143,0,0,0,0,0
5035,L13829,L,302.27,311.09,29.12,37.94,1212,44.47,96,0,0,0,0,0
5036,L91413,L,297.35,307.21,24.2,34.06,1744,23.35,58,0,0,0,0,0
5037,M50211,M,301.93,310.57,28.78,37.42,1569,48.29,59,0,0,0,0,0
5038,H81677,H,301.44,311.16,28.29,38.01,1584,29.28,36,0,0,0,0,0
5039,M25259,M,295.96,305.68,22.81,32.53,1669,30.27,174,0,0,0,0,0
5040,H52612,H,302.65,310.18,29.5,37.03,1756,33.5,157,0,0,0,0,0
5041,M32629,M,300.19,310.72,27.04,37.57,1531,25.64,70,0,0,0,0,0
5042,L97999,L,300.78,310.6,27.63,37.45,1741,20.52,214,0,0,0,0,0
5043,L65437,L,298.27,309.45,25.12,36.3,1632,31.66,133,0,0,0,0,0
5044,M13652,M,302.55,312.77,29.4,39.62,1420,46.95,17,0,0,0,0,0
5045,M71166,M,297.63,308.36,24.48,35.21,1494,39.85,15,0,0,0,0,0
5046,M73332,M,301.66,312.85,28.51,39.7,1643,18.4,34,1,0,0,1,0
5047,L95193,L,301.64,311.51,28.49,38.36,1411,51.72,51,0,0,0,0,0
5048,L61277,L,298.05,308.05,24.9,34.9,1690,40.28,213,0,0,0,0,0
5049,L44809,L,303.97,312.39,30.82,39.24,1563,38.19,187,0,0,0,0,0
5050,L50161,L,300.46,311.7,27.31,38.55,1602,37.08,48,0,0,0,0,0
5051,L68576,L,301.31,311.16,28.16,38.01,1787,37.45,60,0,0,0,0,0
5052,M97579,M,296.95,305.94,23.8,32.79,1597,54.48,153,1,0,0,1,0
5053,L59189,L,304.24,314.98,31.09,41.83,1547,44.07,209,0,0,0,0,0
5054,L83054,L,297.55,305.37,24.4,32.22,1521,40.05,76,0,0,0,0,0
5055,L86643,L,302.05,311.62,28.9,38.47,1511,28.09,126,0,0,0,0,0
5056,M78083,M,298.01,308.92,24.86,35.77,1590,37.36,214,0,0,0,0,0
5057,L71493,L,298.76,308.32,25.61,35.17,1774,38.49,185,0,0,0,0,0
5058,L32075,L,301.58,310.86,28.43,37.71,1428,39.2,214,0,0,0,0,0
5059,L69118,L,302.06,311.64,28.91,38.49,1415,36.32,67,0,0,0,0,0
5060,L94212,L,297.46,305.45,24.31,32.3,1760,36.99,166,0,0,0,0,0
5061,H70803,H,302.18,312.9,29.03,39.75,1436,32.0,27,0,0,0,0,0
5062,H54772,H,302.09,311.97,28.94,38.82,1573,43.37,148,0,0,0,0,0
5063,L86758,L,298.12,307.85,24.97,34.7,1431,36.54,73,0,0,0,0,0
5064,L48168,L,303.2,312.93,30.05,39.78,1241,29.19,168,0,0,0,0,0
5065,M77890,M,297.09,307.1,23.94,33.95,1570,32.86,34,0,0,0,0,0
5066,L48542,L,298.75,309.4,25.6,36.25,1730,32.66,160,0,0,0,0,0
5067,L85788,L,300.96,310.91,27.81,37.76,1524,42.01,170,0,0,0,0,0
5068,L37889,L,298.29,306.93,25.14,33.78,1276,48.41,206,0,0,0,0,0
5069,H18958,H,300.53,311.1,27.38,37.95,1554,26.54,165,0,0,0,0,0
5070,L45260,L,300.48,310.98,27.33,37.83,1403,41.82,125,0,0,0,0,0
5071,L62064,L,299.63,309.83,26.48,36.68,1100,47.82,188,0,0,0,0,0
5072,M35620,M,301.66,312.74,28.51,39.59,1521,34.79,68,0,0,0,0,0
5073,L75752,L,299.54,309.57,26.39,36.42,1626,27.26,163,0,0,0,0,0
5074,L33586,L,300.46,311.57,27.31,38.42,1741,32.5,174,0,0,0,0,0
5075,H79910,H,302.29,313.7,29.14,40.55,1842,56.16,94,1,0,0,1,0
5076,L20223,L,301.58,312.16,28.43,39.01,1649,49.6,237,1,1,0,0,1
5077,M84947,M,301.57,310.82,28.42,37.67,1698,25.75,85,0,0,0,0,0
5078,L18175,L,297.7,307.57,24.55,34.42,1310,44.26,20,0,0,0,0,0
5079,L99142,L,301.05,312.29,27.9,39.14,1819,28.99,73,0,0,0,0,0
5080,L75428,L,298.24,306.75,25.09,33.6,1757,33.75,24,0,0,0,0,0
5081,L49063,L,297.44,307.05,24.29,33.9,1471,46.29,81,0,0,0,0,0
5082,L77900,L,299.86,309.51,26.71,36.36,1654,33.6,31,0,0,0,0,0
5083,M22921,M,298.19,307.33,25.04,34.18,1637,29.31,105,0,0,0,0,0
5084,L45544,L,301.58,312.45,28.43,39.3,1792,41.22,187,0,0,0,0,0
5085,L90903,L,301.63,312.01,28.48,38.86,1509,28.11,16,0,0,0,0,0
5086,L92811,L,296.19,305.48,23.04,32.33,1404,42.31,135,0,0,0,0,0
5087,M58372,M,298.34,308.95,25.19,35.8,1449,27.65,11,0,0,0,0,0
5088,L56078,L,297.08,306.92,23.93,33.77,1692,25.66,212,0,0,0,0,0
5089,L14707,L,299.07,308.18,25.92,35.03,1199,53.74,221,1,0,0,0,1
5090,L70093,L,300.91,310.2,27.76,37.05,1100,46.65,118,0,0,0,0,0
5091,L94193,L,299.52,309.95,26.37,36.8,1691,18.86,185,1,0,0,1,0
5092,L28279,L,298.82,309.76,25.67,36.61,1583,30.41,142,0,0,0,0,0
5093,M51968,M,302.6,312.11,29.45,38.96,1538,30.61,82,0,0,0,0,0
5094,L60324,L,295.39,305.93,22.24,32.78,1307,33.75,59,0,0,0,0,0
5095,L83325,L,302.47,314.06,29.32,40.91,1236,50.77,182,0,0,0,0,0
5096,L38998,L,298.91,307.65,25.76,34.5,1424,27.86,103,0,0,0,0,0
5097,M60665,M,299.84,310.2,26.69,37.05,1598,31.14,221,0,0,0,0,0
5098,L76168,L,298.95,309.78,25.8,36.63,1432,41.06,234,0,0,0,0,0
5099,L12465,L,303.09,312.99,29.94,39.84,1693,31.11,50,0,0,0,0,0
5100,L94083,L,297.54,308.78,24.39,35.63,1368,38.65,135,0,0,0,0,0
5101,L86709,L,300.02,312.22,26.87,39.07,1444,33.89,129,0,0,0,0,0
5102,L51115,L,301.05,311.4,27.9,38.25,1658,24.81,208,0,0,0,0,0
5103,L33356,L,296.78,306.54,23.63,33.39,1469,33.91,166,0,0,0,0,0
5104,L66011,L,298.16,309.14,25.01,35.99,1478,44.03,146,0,0,0,0,0
5105,L83718,L,299.7,310.55,26.55,37.4,1422,36.81,163,0,0,0,0,0
5106,L41441,L,298.23,305.71,25.08,32.56,1390,42.56,93,0,0,0,0,0
5107,L19632,L,298.37,308.37,25.22,35.22,1597,44.81,230,1,1,0,0,0
5108,L51254,L,299.3,308.91,26.15,35.76,1620,40.17,14,0,0,0,0,0
5109,M28827,M,301.3,311.7,28.15,38.55,1575,26.17,7,0,0,0,0,0
5110,H30685,H,299.31,309.12,26.16,35.97,1427,43.73,100,0,0,0,0,0
5111,H90787,H,302.16,312.07,29.01,38.92,1500,46.59,37,0,0,0,0,0
5112,M99329,M,298.0,307.14,24.85,33.99,1814,26.92,131,0,0,0,0,0
5113,M81569,M,297.5,308.23,24.35,35.08,1286,31.86,2,0,0,0,0,0
5114,M48089,M,303.85,315.51,30.7,42.36,1865,27.2,110,0,0,0,0,0
5115,L56980,L,298.68,307.84,25.53,34.69,1552,38.41,71,0,0,0,0,0
5116,M94031,M,297.38,305.98,24.23,32.83,1503,42.85,49,0,0,0,0,0
5117,L64683,L,296.52,306.54,23.37,33.39,1702,29.5,107,0,0,0,0,0
5118,L51444,L,302.15,312.12,29.0,38.97,1173,32.55,205,0,0,0,0,0
5119,M48612,M,299.32,310.49,26.17,37.34,1777,22.04,157,0,0,0,0,0
5120,L75318,L,299.49,308.26,26.34,35.11,1860,33.68,38,1,0,0,0,0
5121,L29562,L,299.68,309.14,26.53,35.99,1725,49.13,120,0,0,0,0,0
5122,H39950,H,302.03,309.88,28.88,36.73,1167,48.92,224,1,0,1,0,0
5123,L91868,L,299.64,311.02,26.49,37.87,1669,44.84,105,0,0,0,0,0
5124,L80895,L,304.69,314.94,31.54,41.79,1823,22.97,113,0,0,0,0,0
5125,H74620,H,300.27,309.8,27.12,36.65,1805,26.56,226,1,1,0,0,0
5126,M84693,M,302.12,310.8,28.97,37.65,1289,25.74,33,1,0,0,1,0
5127,L25857,L,301.61,310.38,28.46,37.23,1713,36.41,176,0,0,0,0,0
5128,L75020,L,299.93,310.34,26.78,37.19,1849,23.83,72,0,0,0,0,0
5129,L88610,L,298.83,307.72,25.68,34.57,1540,41.99,208,0,0,0,0,0
5130,M50625,M,300.66,310.77,27.51,37.62,1281,40.72,13,0,0,0,0,0
5131,L94130,L,301.02,313.06,27.87,39.91,1680,50.28,238,1,0,0,0,1
5132,L20069,L,298.85,308.51,25.7,35.36,1719,47.67,184,0,0,0,0,0
5133,L20724,L,300.33,309.37,27.18,36.22,1511,19.5,68,1,0,0,1,0
5134,L65562,L,302.47,312.85,29.32,39.7,1327,47.92,183,0,0,0,0,0
5135,H73448,H,304.14,312.91,30.99,39.76,1707,27.62,222,1,1,0,0,0
5136,L61865,L,301.71,313.43,28.56,40.28,1400,46.09,27,0,0,0,0,0
5137,M44569,M,303.73,315.13,30.58,41.98,1605,24.96,219,0,0,0,0,0
5138,L31933,L,298.74,308.58,25.59,35.43,1808,43.23,86,0,0,0,0,0
5139,M58978,M,301.4,310.51,28.25,37.36,1245,54.28,2,0,0,0,0,0
5140,H83874,H,302.68,312.25,29.53,39.1,1694,22.52,27,0,0,0,0,0
5141,L65971,L,298.21,307.91,25.06,34.76,1499,36.78,212,0,0,0,0,0
5142,L85508,L,299.03,309.41,25.88,36.26,1503,39.41,236,0,0,0,0,0
5143,L92793,L,303.48,314.52,30.33,41.37,1625,41.01,215,0,0,0,0,0
5144,M87721,M,298.05,307.01,24.9,33.86,1400,40.83,106,0,0,0,0,0
5145,L50196,L,297.32,308.33,24.17,35.18,1329,49.39,231,1,0,0,0,1
5146,M71511,M,303.06,313.67,29.91,40.52,1223,46.29,98,0,0,0,0,0
5147,M87085,M,302.39,311.89,29.24,38.74,1751,37.62,27,0,0,0,0,0
5148,M38835,M,300.86,309.78,27.71,36.63,1470,28.03,82,0,0,0,0,0
5149,M41817,M,299.91,310.02,26.76,36.87,1635,34.84,240,1,1,0,0,0
5150,L69122,L,299.12,308.06,25.97,34.91,1450,48.71,150,0,0,0,0,0
5151,L14732,L,300.56,311.59,27.41,38.44,1332,54.31,82,0,0,0,0,0
5152,L10360,L,303.16,312.04,30.01,38.89,1649,36.13,150,0,0,0,0,0
5153,H67102,H,300.48,311.02,27.33,37.87,1592,35.19,103,0,0,0,0,0
5154,M20449,M,304.33,314.25,31.18,41.1,1494,49.31,12,0,0,0,0,0
5155,M60678,M,298.2,307.64,25.05,34.49,1588,35.28,48,0,0,0,0,0
5156,L98358,L,299.96,309.86,26.81,36.71,1367,51.07,5,0,0,0,0,0
5157,L42203,L,299.25,310.33,26.1,37.18,1721,32.45,61,0,0,0,0,0
5158,M76541,M,297.83,306.64,24.68,33.49,1761,32.85,177,0,0,0,0,0
5159,L86074,L,299.69,309.28,26.54,36.13,1668,25.51,46,0,0,0,0,0
5160,L52352,L,300.83,310.08,27.68,36.93,1470,28.99,127,0,0,0,0,0
5161,M57778,M,301.05,311.01,27.9,37.86,1545,44.9,168,0,0,0,0,0
5162,L18997,L,304.34,313.66,31.19,40.51,1810,45.45,132,0,0,0,0,0
5163,L28522,L,300.93,309.16,27.78,36.01,1759,33.41,4,0,0,0,0,0
5164,L16562,L,302.3,311.25,29.15,38.1,1884,29.08,87,0,0,0,0,0
5165,L58819,L,300.13,311.77,26.98,38.62,1398,49.15,106,0,0,0,0,0
5166,H50031,H,303.36,313.6,30.21,40.45,1383,44.14,82,0,0,0,0,0
5167,L68376,L,304.8,315.01,31.65,41.86,1559,17.58,131,1,0,0,1,0
5168,L43451,L,301.06,310.78,27.91,37.63,1606,43.62,123,0,0,0,0,0
5169,L52567,L,298.01,307.96,24.86,34.81,1510,27.25,45,0,0,0,0,0
5170,M39824,M,298.9,308.47,25.75,35.32,1467,38.97,180,0,0,0,0,0
5171,L44840,L,300.56,311.09,27.41,37.94,1757,29.08,39,0,0,0,0,0
5172,L18095,L,300.91,311.01,27.76,37.86,1519,32.59,110,0,0,0,0,0
5173,L74445,L,301.4,310.23,28.25,37.08,1322,43.7,182,0,0,0,0,0
5174,L94847,L,300.92,311.17,27.77,38.02,1343,49.83,167,0,0,0,0,0
5175,L26099,L,300.01,307.56,26.86,34.41,1578,36.55,104,0,0,0,0,0
5176,M50405,M,298.73,309.14,25.58,35.99,2060,39.09,189,0,0,0,0,0
5177,M38560,M,300.8,309.39,27.65,36.24,1364,54.27,171,1,0,1,0,0
5178,L96908,L,303.71,313.61,30.56,40.46,1480,50.92,92,0,0,0,0,0
5179,L50842,L,302.04,310.85,28.89,37.7,1956,28.85,215,0,0,0,0,0
5180,H23742,H,301.07,311.07,27.92,37.92,1450,35.68,34,0,0,0,0,0
5181,L85048,L,302.06,312.64,28.91,39.49,1615,35.21,86,0,0,0,0,0
5182,M62376,M,299.26,310.76,26.11,37.61,1863,39.75,167,0,0,0,0,0
5183,L32475,L,298.98,307.44,25.83,34.29,1368,50.39,210,1,0,1,0,0
5184,H33278,H,298.5,309.48,25.35,36.33,1481,17.93,77,1,0,0,1,0
5185,M96460,M,299.75,309.88,26.6,36.73,1450,41.95,135,0,0,0,0,0
5186,H65344,H,299.16,308.71,26.01,35.56,1269,26.19,3,1,0,0,1,0
5187,M78939,M,302.42,313.18,29.27,40.03,1810,31.51,89,0,0,0,0,0
5188,L14158,L,299.05,308.81,25.9,35.66,1433,35.76,79,0,0,0,0,0
5189,H25897,H,298.39,309.11,25.24,35.96,1382,34.77,202,0,0,0,0,0
5190,L81077,L,303.89,312.89,30.74,39.74,1457,46.11,18,0,0,0,0,0
5191,L79787,L,299.1,308.46,25.95,35.31,1698,28.57,15,0,0,0,0,0
5192,M30992,M,300.31,311.25,27.16,38.1,1555,36.78,106,0,0,0,0,0
5193,M88401,M,300.9,312.39,27.75,39.24,1396,33.57,98,0,0,0,0,0
5194,H87319,H,297.73,307.69,24.58,34.54,1607,36.25,39,0,0,0,0,0
5195,L53953,L,302.47,309.68,29.32,36.53,1677,41.84,63,0,0,0,0,0
5196,M54809,M,301.27,311.08,28.12,37.93,1531,30.4,234,0,0,0,0,0
5197,M74968,M,303.12,313.15,29.97,40.0,1494,43.47,123,0,0,0,0,0
5198,L74819,L,298.64,308.41,25.49,35.26,1713,33.9,21,0,0,0,0,0
5199,L37146,L,300.2,310.53,27.05,37.38,1504,38.48,12,0,0,0,0,0
5200,L96531,L,300.08,309.6,26.93,36.45,1816,28.74,10,0,0,0,0,0
5201,L93613,L,300.53,311.37,27.38,38.22,1402,47.04,93,0,0,0,0,0
5202,H85135,H,297.09,305.92,23.94,32.77,1398,46.34,208,0,0,0,0,0
5203,M21664,M,300.22,311.46,27.07,38.31,1377,40.55,200,0,0,0,0,0
5204,M75800,M,297.15,308.7,24.0,35.55,1493,39.99,88,0,0,0,0,0
5205,H22805,H,300.72,309.8,27.57,36.65,1535,43.26,186,0,0,0,0,0
5206,L40660,L,295.74,304.83,22.59,31.68,1303,48.3,181,0,0,0,0,0
5207,M55044,M,296.3,306.71,23.15,33.56,1552,34.47,116,0,0,0,0,0
5208,L25094,L,301.64,310.45,28.49,37.3,1634,44.39,97,0,0,0,0,0
5209,M72225,M,298.91,308.41,25.76,35.26,1279,51.73,43,0,0,0,0,0
5210,L66715,L,298.02,309.13,24.87,35.98,1444,56.57,67,0,0,0,0,0
5211,H63179,H,302.54,313.28,29.39,40.13,1634,22.5,81,0,0,0,0,0
5212,L37091,L,300.66,312.64,27.51,39.49,1344,48.24,195,0,0,0,0,0
5213,L66790,L,301.74,311.91,28.59,38.76,1480,47.94,133,0,0,0,0,0
5214,M79502,M,299.67,309.06,26.52,35.91,1725,41.25,48,0,0,0,0,0
5215,L62470,L,305.36,315.41,32.21,42.26,1849,28.96,23,0,0,0,0,0
5216,M78432,M,298.79,308.64,25.64,35.49,1612,24.64,119,0,0,0,0,0
5217,L63300,L,303.49,313.35,30.34,40.2,1505,50.38,160,0,0,0,0,0
5218,M91574,M,299.88,309.85,26.73,36.7,1447,35.74,197,0,0,0,0,0
5219,L97024,L,296.69,305.76,23.54,32.61,1694,31.45,191,0,0,0,0,0
5220,L34438,L,300.97,311.25,27.82,38.1,1733,49.59,198,1,0,0,1,0
5221,L66909,L,300.63,309.22,27.48,36.07,1333,32.81,107,1,0,1,0,0
5222,L54929,L,297.9,307.18,24.75,34.03,1694,40.37,208,0,0,0,0,0
5223,L11004,L,298.16,308.04,25.01,34.89,1429,34.07,107,0,0,0,0,0
5224,L82751,L,299.95,307.69,26.8,34.54,1385,35.18,40,0,0,0,0,0
5225,L98492,L,300.7,311.47,27.55,38.32,1508,39.33,95,0,0,0,0,0
5226,L69914,L,295.06,303.01,21.91,29.86,1709,38.95,82,0,0,0,0,0
5227,L13168,L,302.11,312.78,28.96,39.63,1589,43.66,94,0,0,0,0,0
5228,M39068,M,299.01,307.72,25.86,34.57,1584,44.81,158,0,0,0,0,0
5229,L72106,L,297.34,306.93,24.19,33.78,1597,30.23,158,0,0,0,0,0
5230,L41677,L,301.88,312.4,28.73,39.25,1617,26.29,54,0,0,0,0,0
5231,M45339,M,299.95,312.15,26.8,39.0,1515,35.08,76,0,0,0,0,0
5232,L87796,L,302.43,312.55,29.28,39.4,1646,37.6,143,0,0,0,0,0
5233,M60878,M,300.88,308.89,27.73,35.74,1420,38.72,20,0,0,0,0,0
5234,L62206,L,300.0,310.95,26.85,37.8,1649,5.7,165,1,0,0,1,0
5235,L44434,L,299.69,309.46,26.54,36.31,1685,19.39,43,1,0,0,1,0
5236,L51731,L,300.97,311.04,27.82,37.89,1657,32.65,204,0,0,0,0,0
5237,M31774,M,299.17,309.73,26.02,36.58,1666,41.22,96,0,0,0,0,0
5238,M50155,M,298.29,306.07,25.14,32.92,1616,28.21,53,0,0,0,0,0
5239,L75175,L,301.22,311.23,28.07,38.08,1740,38.79,160,0,0,0,0,0
5240,L96056,L,299.71,309.3,26.56,36.15,1137,38.4,133,0,0,0,0,0
5241,H77525,H,300.07,311.29,26.92,38.14,1684,36.06,41,0,0,0,0,0
5242,L42458,L,302.18,312.91,29.03,39.76,1881,32.57,199,0,0,0,0,0
5243,L75482,L,299.77,308.15,26.62,35.0,1426,43.92,109,0,0,0,0,0
5244,H35169,H,300.03,311.29,26.88,38.14,1407,32.67,37,0,0,0,0,0
5245,M78136,M,298.8,309.25,25.65,36.1,1760,20.17,191,0,0,0,0,0
5246,L65726,L,300.86,309.31,27.71,36.16,1373,47.54,32,1,0,1,0,0
5247,M20397,M,300.7,310.76,27.55,37.61,1418,28.19,232,0,0,0,0,0
5248,M36126,M,301.8,312.84,28.65,39.69,1565,30.45,106,0,0,0,0,0
5249,L64515,L,298.84,307.63,25.69,34.48,1395,52.2,175,0,0,0,0,0
5250,L33452,L,299.08,310.46,25.93,37.31,1688,35.3,108,0,0,0,0,0
5251,L99401,L,301.58,310.07,28.43,36.92,1397,43.97,45,0,0,0,0,0
